ID TIME DONE
# Manager.Done #1
81 10.5417 0.0
81 10.9898 1.0
81 10.9898 1.0
81 1000.09 1.0
# Manager.Done #82
82 0.0 0.0
82 12.2615 0.0
82 12.2615 0.0
82 12.9788 1.0
82 12.9788 1.0
82 1000.29 1.0
# Manager.Done #83
83 0.0 0.0
83 13.6821 0.0
83 13.6821 0.0
83 14.3107 1.0
83 14.3107 1.0
83 1000.04 1.0
# Manager.Done #84
84 0.0 0.0
84 36.9517 0.0
84 36.9517 0.0
84 37.162 1.0
84 37.162 1.0
84 1000.52 1.0
# Manager.Done #85
85 0.0 0.0
85 31.321 0.0
85 31.321 0.0
85 32.0339 1.0
85 32.0339 1.0
85 1000.12 1.0
# Manager.Done #86
86 0.0 0.0
86 17.5569 0.0
86 17.5569 0.0
86 17.9542 1.0
86 17.9542 1.0
86 1000.28 1.0
# Manager.Done #87
87 0.0 0.0
87 4.11737 0.0
87 4.11737 0.0
87 4.12981 1.0
87 4.12981 1.0
87 1000.13 1.0
# Manager.Done #88
88 0.0 0.0
88 46.4461 0.0
88 46.4461 0.0
88 47.1479 1.0
88 47.1479 1.0
88 1000.02 1.0
# Manager.Done #89
89 0.0 0.0
89 6.97829 0.0
89 6.97829 0.0
89 7.31102 1.0
89 7.31102 1.0
89 1000.12 1.0
# Manager.Done #90
90 0.0 0.0
90 7.50165 0.0
90 7.50165 0.0
90 8.01749 1.0
90 8.01749 1.0
90 1000.67 1.0
# Manager.Done #91
91 0.0 0.0
91 54.0419 0.0
91 54.0419 0.0
91 54.7226 1.0
91 54.7226 1.0
91 1001.09 1.0
# Manager.Done #92
92 0.0 0.0
92 5.00452 0.0
92 5.00452 0.0
92 5.26565 1.0
92 5.26565 1.0
92 1000.26 1.0
# Manager.Done #93
93 0.0 0.0
93 5.44617 0.0
93 5.44617 0.0
93 5.53448 1.0
93 5.53448 1.0
93 1000.34 1.0
# Manager.Done #94
94 0.0 0.0
94 3.5797 0.0
94 3.5797 0.0
94 3.84137 1.0
94 3.84137 1.0
94 1000.12 1.0
# Manager.Done #95
95 0.0 0.0
95 7.0732 0.0
95 7.0732 0.0
95 7.16505 1.0
95 7.16505 1.0
95 1000.07 1.0
# Manager.Done #96
96 0.0 0.0
96 12.2738 0.0
96 12.2738 0.0
96 13.0003 1.0
96 13.0003 1.0
96 1000.2 1.0
# Manager.Done #97
97 0.0 0.0
97 10.0414 0.0
97 10.0414 0.0
97 10.7585 1.0
97 10.7585 1.0
97 1000.36 1.0
# Manager.Done #98
98 0.0 0.0
98 11.987 0.0
98 11.987 0.0
98 12.5976 1.0
98 12.5976 1.0
98 1001.07 1.0
# Manager.Done #99
99 0.0 0.0
99 10.7792 0.0
99 10.7792 0.0
99 11.1069 1.0
99 11.1069 1.0
99 1000.12 1.0
# Manager.Done #100
100 0.0 0.0
100 2.63885 0.0
100 2.63885 0.0
100 3.36339 1.0
100 3.36339 1.0
100 1000.17 1.0
# Manager.Done #101
101 0.0 0.0
101 15.0661 0.0
101 15.0661 0.0
101 15.8319 1.0
101 15.8319 1.0
101 1000.15 1.0
# Manager.Done #102
102 0.0 0.0
102 1.70285 0.0
102 1.70285 0.0
102 2.48336 1.0
102 2.48336 1.0
102 1000.19 1.0
# Manager.Done #103
103 0.0 0.0
103 9.70122 0.0
103 9.70122 0.0
103 10.2037 1.0
103 10.2037 1.0
103 1001.04 1.0
# Manager.Done #104
104 0.0 0.0
104 9.08559 0.0
104 9.08559 0.0
104 9.08559 1.0
104 1000.11 1.0
# Manager.Done #105
105 0.0 0.0
105 3.86345 0.0
105 3.86345 0.0
105 4.17295 1.0
105 4.17295 1.0
105 1000.04 1.0
# Manager.Done #106
106 0.0 0.0
106 18.7552 0.0
106 18.7552 0.0
106 19.5087 1.0
106 19.5087 1.0
106 1000.24 1.0
# Manager.Done #107
107 0.0 0.0
107 39.2611 0.0
107 39.2611 0.0
107 39.6536 1.0
107 39.6536 1.0
107 1000.13 1.0
# Manager.Done #108
108 0.0 0.0
108 28.6119 0.0
108 28.6119 0.0
108 29.2511 1.0
108 29.2511 1.0
108 1001.84 1.0
# Manager.Done #109
109 0.0 0.0
109 28.2908 0.0
109 28.2908 0.0
109 28.8678 1.0
109 28.8678 1.0
109 1000.74 1.0
# Manager.Done #110
110 0.0 0.0
110 28.9107 0.0
110 28.9107 0.0
110 29.4973 1.0
110 29.4973 1.0
110 1000.26 1.0
# Manager.Done #111
111 0.0 0.0
111 27.5242 0.0
111 27.5242 0.0
111 27.7713 1.0
111 27.7713 1.0
111 1001.39 1.0
# Manager.Done #112
112 0.0 0.0
112 14.2298 0.0
112 14.2298 0.0
112 14.6654 1.0
112 14.6654 1.0
112 1000.22 1.0
# Manager.Done #113
113 0.0 0.0
113 29.5471 0.0
113 29.5471 0.0
113 30.1497 1.0
113 30.1497 1.0
113 1000.39 1.0
# Manager.Done #114
114 0.0 0.0
114 20.6846 0.0
114 20.6846 0.0
114 21.3836 1.0
114 21.3836 1.0
